Country,Medal_2028,Medal_2024,Diff,Probability
IVB,3.7274592,0,3.7274592,0.27487128586127707
BRA,17.776571,20,-2.2234289999999994,0.2741498150014713
NCA,4.0207076,0,4.0207076,0.2726129856729304
PAN,5.9099846,1,4.9099846,0.2724391415659968
ROT,3.8518448,0,3.8518448,0.271477817999678
MRI,5.9819407,0,5.9819407,0.27121225053399944
CRC,4.05203,0,4.05203,0.2700289004261189
BEL,4.614917,9,-4.385083,0.2678317264165546
RUS,32.935474,0,32.935474,0.2657169375849323
IOA,3.6930575,0,3.6930575,0.26559964226000526
KOS,8.125468,2,6.125468,0.2649249163091388
OMA,4.3388925,0,4.3388925,0.2649148447740326
BOT,8.9878435,2,6.9878435,0.2645643668462081
ZAM,12.730554,1,11.730554,0.26430833073070276
GAM,2.8251696,0,2.8251696,0.26354232913040837
ANZ,5.5108294,0,5.5108294,0.2631153948067481
SVK,9.6983385,1,8.6983385,0.2627450108966307
SAA,5.9254203,0,5.9254203,0.2622465243883874
JPN,43.082916,45,-1.9170840000000027,0.25928567799563673
NEP,6.138166,0,6.138166,0.25686903901441893
MLT,5.2506375,0,5.2506375,0.2564244385982864
CYP,6.2049513,1,5.2049513,0.25550016667883624
NFL,4.693881,0,4.693881,0.2552583109856336
GUA,6.6855907,2,4.6855907,0.2529238879870686
CGO,6.382939,0,6.382939,0.25235857001836304
CZE,16.673897,5,11.673897,0.2501900568604172
MAW,4.5812945,0,4.5812945,0.24891755050784498
EST,8.395008,0,8.395008,0.2471357105424848
BAH,8.190085,0,8.190085,0.24636686226329357
NIG,6.0910053,0,6.0910053,0.24622870267172903
HON,3.8574839,0,3.8574839,0.24608677744765056
VNM,5.168279,0,5.168279,0.24527540963069727
ISV,5.7201843,0,5.7201843,0.24523050143495506
BLR,8.006367,0,8.006367,0.2452072753397273
PAR,4.7280297,0,4.7280297,0.24494586865594148
FRG,4.517924,0,4.517924,0.2446740525242732
DEN,14.31293,9,5.31293,0.2425973116003905
SEN,6.1505675,0,6.1505675,0.24031832119408225
ESP,25.589056,18,7.589055999999999,0.23790381621824003
CRO,16.148727,7,9.148727000000001,0.23710362974404403
AND,6.713667,0,6.713667,0.23668159081067058
TLS,4.2053256,0,4.2053256,0.23637469348618517
FRA,51.182823,64,-12.817177000000001,0.23533564656153416
TUV,4.3374968,0,4.3374968,0.2339954592808589
UAE,6.044543,0,6.044543,0.23216277187257434
ETH,8.367243,4,4.367243,0.23164664334047913
MON,4.8302674,0,4.8302674,0.23096269477366005
SCG,8.987766,0,8.987766,0.23062294220919133
GHA,6.098434,0,6.098434,0.23035252361883335
BAR,5.1983695,0,5.1983695,0.23013285504372427
TUR,19.267885,8,11.267885,0.2291790067470314
AUT,13.6234255,5,8.6234255,0.22872753552128755
TUN,5.980419,3,2.9804190000000004,0.22860367520183317
HAI,5.1761904,0,5.1761904,0.22819456513081282
MNE,7.0127463,0,7.0127463,0.22643071450500146
LBN,6.8637695,0,6.8637695,0.22611396520038485
COK,3.7219212,0,3.7219212,0.22594134635828278
ECU,8.668455,5,3.668455,0.22580563258654907
SLO,6.883739,3,3.8837390000000003,0.22568270008007718
LBA,2.4824882,0,2.4824882,0.22435160162893442
SRB,19.279636,5,14.279636,0.22215083332686447
UGA,7.1586466,2,5.1586466,0.22078342961307063
DMA,3.1568866,1,2.1568866,0.22021239389768832
CAF,4.155505,0,4.155505,0.21889966930169302
ARG,8.686244,3,5.686244,0.21829858121779522
SOL,2.944358,0,2.944358,0.21735870315799494
YUG,3.9016926,0,3.9016926,0.21485097583839796
ITA,28.116053,36,-7.883946999999999,0.2148341024895526
KOR,28.388624,32,-3.611376,0.21334236628569803
ESA,6.6100974,0,6.6100974,0.21260000133469642
PNG,2.904624,0,2.904624,0.2120988124622753
VIN,4.7700763,0,4.7700763,0.21187254698734287
BOL,2.9077957,0,2.9077957,0.2117238489091674
PAK,4.2906084,1,3.2906084,0.21064610006438528
BOH,6.9327874,0,6.9327874,0.2105320448821697
EUN,4.5973973,0,4.5973973,0.21041713060874823
ANT,5.751155,0,5.751155,0.21022681283177258
DJI,4.5082026,0,4.5082026,0.21015498479866057
SOM,5.2170315,0,5.2170315,0.20967274153429105
URU,4.210235,0,4.210235,0.20907434121509727
AIN,7.8211107,5,2.8211107,0.20808072742112227
URS,5.249721,0,5.249721,0.2065208676399497
CHA,4.7060285,0,4.7060285,0.20619118007304515
BUR,3.733753,0,3.733753,0.2061831364760165
MOZ,10.325322,0,10.325322,0.2022254665764951
SWE,15.559747,11,4.559747,0.2015379340048708
BAN,7.308185,0,7.308185,0.2006187319790228
SSD,4.3727856,0,4.3727856,0.19996713115246045
PLE,4.839128,0,4.839128,0.19959537696795437
BIZ,3.3939445,0,3.3939445,0.19921014390011677
SMR,5.1357665,0,5.1357665,0.19857437252568266
GBR,71.170494,62,9.170494000000005,0.198409337056915
SRI,2.9727688,0,2.9727688,0.19708420174605085
SUD,4.820504,0,4.820504,0.19692176686358592
RHO,6.5052676,0,6.5052676,0.19668018149944577
NBO,2.9063013,0,2.9063013,0.19656632558324155
ALB,5.0335364,2,3.0335364,0.1964022484619551
PUR,11.365012,2,9.365012,0.1953353228317416
TGA,5.6253624,0,5.6253624,0.19371013640921686
ROC,20.931313,0,20.931313,0.19337861542319784
SUR,5.3567944,0,5.3567944,0.19304820625618102
LBR,3.4553409,0,3.4553409,0.1925145876638943
DOM,11.177666,3,8.177666,0.19220380859899044
QAT,5.4064336,1,4.4064336,0.19068813305647925
LUX,7.477203,0,7.477203,0.18923009092684207
ANG,3.3299713,0,3.3299713,0.1892189735675215
TPE,11.181104,7,4.1811039999999995,0.18752745621922923
NAM,5.420846,0,5.420846,0.18597794240647236
LIB,5.363983,0,5.363983,0.18570701785954397
UAR,3.5828395,0,3.5828395,0.18396586319995067
RWA,3.4819603,0,3.4819603,0.18271508919611767
PRK,9.282559,6,3.282558999999999,0.18219925497107642
KIR,3.3989208,0,3.3989208,0.1797320050330911
GRN,11.719516,2,9.719516,0.1793991120617453
COM,4.310092,0,4.310092,0.1793709790195569
SLE,6.3153462,0,6.3153462,0.17861383502207362
SGP,4.8860307,1,3.8860307,0.1777498077745039
POL,17.43052,10,7.430520000000001,0.17599599501721525
JOR,5.35215,1,4.35215,0.17575260369317636
FIN,5.5549846,0,5.5549846,0.17547502934091364
CIV,8.673519,1,7.673519000000001,0.17242103622763266
KUW,6.40427,0,6.40427,0.17222366230055525
SEY,5.3845525,0,5.3845525,0.1714176265946568
TTO,4.800479,0,4.800479,0.1702839501827459
UNK,5.051492,0,5.051492,0.1695193876283445
GUI,5.0616345,0,5.0616345,0.16880612651576488
MAL,6.1307964,0,6.1307964,0.16844418396571204
BRU,6.3127565,0,6.3127565,0.16452732189791042
GAB,4.9242663,0,4.9242663,0.16441814898806328
JAM,11.042134,6,5.042134000000001,0.16178157560357037
BDI,4.385676,0,4.385676,0.15975282725840118
TJK,8.84333,3,5.84333,0.15855507818438158
PER,5.869304,1,4.869304,0.15633999037555613
LIE,5.66208,0,5.66208,0.1552393404721592
CAN,14.7242985,27,-12.2757015,0.15187375558608618
SAM,5.285513,0,5.285513,0.15063147262703253
SYR,5.846384,0,5.846384,0.14446748255102043
MAS,11.243677,2,9.243677,0.1439161936139422
NGR,7.628061,0,7.628061,0.14303572002543163
GBS,6.1576314,0,6.1576314,0.14143454981623577
GDR,6.8850513,0,6.8850513,0.13817882471785603
GER,54.451714,31,23.451714000000003,0.13537390507493452
MDV,8.043265,0,8.043265,0.13173083512809647
