Country,Medal,Lower,Upper
BER,5.4546075,1.8084382448086722,6.766826543404788
NAM,5.420846,1.7746767448086724,6.733065043404788
LAT,5.4182634,1.7720941448086722,6.730482443404788
QAT,5.4064336,1.760264344808672,6.718652643404788
BIH,5.398541,1.7523717448086722,6.710760043404788
SEY,5.3845525,1.7383832448086722,6.696771543404788
LIB,5.363983,1.7178137448086725,6.676202043404788
ALG,5.357763,1.7115937448086727,6.669982043404788
SUR,5.3567944,1.7106251448086724,6.669013443404788
JOR,5.35215,1.7059807448086723,6.664369043404788
SAM,5.285513,1.6393437448086723,6.597732043404788
MLT,5.2506375,1.6044682448086722,6.562856543404788
URS,5.249721,1.6035517448086725,6.561940043404788
BUL,5.2222667,1.576097444808672,6.534485743404788
SOM,5.2170315,1.5708622448086724,6.529250543404788
BAR,5.1983695,1.5522002448086725,6.510588543404788
HAI,5.1761904,1.5300211448086727,6.488409443404788
VNM,5.168279,1.5221097448086724,6.480498043404788
SMR,5.1357665,1.4895972448086723,6.447985543404788
MDA,5.0776,1.4314307448086727,6.389819043404788
GUI,5.0616345,1.4154652448086726,6.373853543404788
UNK,5.051492,1.405322744808672,6.363711043404788
ALB,5.0335364,1.3873671448086724,6.345755443404788
COL,4.98296,1.3367907448086727,6.295179043404788
YAR,4.9805484,1.3343791448086724,6.292767443404788
ZIM,4.9537206,1.307551344808672,6.265939643404788
BEN,4.934901,1.2887317448086724,6.247120043404788
LAO,4.934794,1.2886247448086725,6.247013043404788
GAB,4.9242663,1.2780970448086726,6.236485343404788
SGP,4.8860307,1.2398614448086724,6.198249743404788
MYA,4.8552413,1.2090720448086727,6.167460343404788
PLE,4.839128,1.192958744808672,6.151347043404788
MON,4.8302674,1.1840981448086727,6.142486443404788
SUD,4.820504,1.174334744808672,6.132723043404788
TTO,4.800479,1.1543097448086725,6.112698043404788
MLI,4.782164,1.1359947448086722,6.094383043404788
VIN,4.7700763,1.1239070448086728,6.082295343404788
PAR,4.7280297,1.081860444808672,6.040248743404788
CHA,4.7060285,1.0598592448086728,6.018247543404788
PHI,4.705172,1.0590027448086725,6.017391043404788
MHL,4.700309,1.0541397448086722,6.012528043404788
NFL,4.693881,1.0477117448086726,6.006100043404788
MAR,4.6554146,1.0092453448086727,5.967633643404788
BEL,4.614917,0.9687477448086725,5.927136043404788
INA,4.598893,0.9527237448086727,5.911112043404788
EUN,4.5973973,0.9512280448086723,5.909616343404788
MAW,4.5812945,0.9351252448086727,5.893513543404788
YEM,4.5748744,0.9287051448086721,5.887093443404788
KSA,4.5303307,0.8841614448086728,5.842549743404788
FRG,4.517924,0.8717547448086722,5.830143043404788
DJI,4.5082026,0.8620333448086721,5.820421643404788
AHO,4.444825,0.7986557448086722,5.757044043404788
BDI,4.385676,0.7395067448086725,5.697895043404788
SSD,4.3727856,0.7266163448086727,5.685004643404788
OMA,4.3388925,0.6927232448086724,5.651111543404788
TUV,4.3374968,0.6913275448086726,5.649715843404788
COM,4.310092,0.6639227448086724,5.622311043404788
ERI,4.2911205,0.6449512448086723,5.603339543404788
PAK,4.2906084,0.6444391448086724,5.602827443404788
LTU,4.233017,0.5868477448086726,5.545236043404788
URU,4.210235,0.5640657448086723,5.522454043404788
TLS,4.2053256,0.5591563448086725,5.517544643404788
TOG,4.198352,0.5521827448086722,5.510571043404788
CAF,4.155505,0.5093357448086722,5.467724043404788
GUM,4.149608,0.5034387448086721,5.461827043404788
CRC,4.05203,0.4058607448086726,5.364249043404788
NCA,4.0207076,0.3745383448086721,5.332926643404788
SKN,4.018856,0.3726867448086728,5.331075043404788
POR,3.9652486,0.31907934480867217,5.277467643404788
YUG,3.9016926,0.25552334480867245,5.2139116434047885
HON,3.8574839,0.21131464480867246,5.169702943404788
VIE,3.853773,0.20760374480867227,5.165992043404788
ROT,3.8518448,0.20567554480867223,5.164063843404788
SWZ,3.7915125,0.14534324480867244,5.103731543404788
BUR,3.733753,0.08758374480867248,5.045972043404788
IVB,3.7274592,0.08128994480867258,5.039678243404788
COK,3.7219212,0.07575194480867253,5.034140243404789
EOR,3.7190514,0.0728821448086725,5.031270443404788
IOA,3.6930575,0.046888244808672486,5.005276543404788
CPV,3.6334007,-0.012768555191327469,4.945619743404788
TAN,3.5972536,-0.048915655191327456,4.909472643404788
UAR,3.5828395,-0.06332975519132766,4.895058543404788
RWA,3.4819603,-0.16420895519132772,4.794179343404788
LBR,3.4553409,-0.19082835519132768,4.7675599434047875
KIR,3.3989208,-0.24724845519132765,4.711139843404788
BIZ,3.3939445,-0.2522247551913277,4.706163543404788
GUY,3.343858,-0.3023112551913276,4.656077043404788
ANG,3.3299713,-0.31619795519132765,4.642190343404788
PLW,3.2272842,-0.41888505519132746,4.539503243404788
IRQ,3.1905518,-0.45561745519132746,4.502770843404788
DMA,3.1568866,-0.48928265519132763,4.469105643404788
TCH,3.0536351,-0.5925341551913275,4.365854143404788
LCA,3.0147724,-0.6313968551913276,4.326991443404788
SRI,2.9727688,-0.6734004551913277,4.284987843404788
ARU,2.9484098,-0.6977594551913278,4.260628843404788
COD,2.9463968,-0.6997724551913276,4.2586158434047885
SOL,2.944358,-0.7018112551913278,4.256577043404787
LES,2.942419,-0.7037502551913275,4.254638043404788
BOL,2.9077957,-0.7383735551913277,4.220014743404787
NBO,2.9063013,-0.7398679551913276,4.218520343404788
PNG,2.904624,-0.7415452551913275,4.216843043404788
CMR,2.879549,-0.7666202551913277,4.191768043404788
GAM,2.8251696,-0.8209996551913274,4.137388643404789
WIF,2.6816247,-0.9645445551913276,3.993843743404788
CAM,2.6592388,-0.9869304551913278,3.971457843404788
LBA,2.4824882,-1.1636810551913275,3.794707243404788
STP,2.4005108,-1.2456584551913275,3.712729843404788
VAN,2.1453943,-1.5007749551913276,3.457613343404788
ASA,1.715391,-1.9307782551913275,3.0276100434047883
GEQ,1.7036649,-1.9425043551913277,3.0158839434047877
FSM,1.6041808,-2.0419884551913277,2.916399843404788
