Country,Medal,Lower,Upper
MHL,4.6179523,2.8819477447978428,8.013949337300055
EOR,4.616527,2.8805224447978426,8.012524037300054
MNE,4.6157055,2.8797009447978428,8.011702537300053
CYP,4.6088295,2.8728249447978427,8.004826537300055
SRI,4.5989585,2.862953944797843,7.994955537300054
ESA,4.5815487,2.845544144797843,7.977545737300054
NRU,4.579562,2.843557444797843,7.975559037300054
IVB,4.5187325,2.7827279447978426,7.914729537300054
INA,4.469049,2.733044444797843,7.865046037300054
CHA,4.406594,2.670589444797843,7.802591037300054
TKM,4.3905244,2.6545198447978433,7.786521437300054
LAT,4.3635993,2.6275947447978427,7.759596337300054
EUN,4.3455834,2.6095788447978427,7.741580437300054
CAF,4.3392262,2.6032216447978427,7.735223237300054
ISL,4.3162017,2.5801971447978427,7.712198737300054
GEQ,4.308857,2.5728524447978427,7.704854037300054
COM,4.1964808,2.4604762447978428,7.592477837300054
CHI,4.194461,2.4584564447978434,7.5904580373000545
SWZ,4.157142,2.4211374447978433,7.553139037300054
BOH,4.1509986,2.4149940447978433,7.546995637300054
IRL,4.143054,2.407049444797843,7.539051037300054
LBN,4.1093755,2.3733709447978426,7.505372537300054
URS,4.1022115,2.366206944797843,7.498208537300054
VIE,4.094641,2.358636444797843,7.490638037300054
BRN,4.0840516,2.3480470447978425,7.480048637300054
LIB,4.07665,2.340645444797843,7.472647037300054
ITA,4.0696435,2.3336389447978427,7.465640537300054
STP,4.0626574,2.326652844797843,7.458654437300054
NFL,4.0560236,2.3200190447978426,7.452020637300054
AZE,4.0357213,2.2997167447978426,7.431718337300054
MAD,4.03524,2.299235444797843,7.431237037300054
NBO,4.008649,2.272644444797843,7.404646037300054
SEY,4.0078206,2.2718160447978426,7.403817637300054
PER,4.005382,2.269377444797843,7.401379037300054
CGO,3.9990757,2.263071144797843,7.395072737300055
ERI,3.9792624,2.243257844797843,7.375259437300054
AFG,3.977216,2.241211444797843,7.373213037300054
NEP,3.9315052,2.195500644797843,7.327502237300054
SSD,3.887135,2.1511304447978428,7.283132037300054
IND,3.8807833,2.144778744797843,7.276780337300054
AHO,3.8642995,2.128294944797843,7.260296537300054
ANT,3.8614066,2.125402044797843,7.2574036373000546
ROT,3.8421419,2.106137344797843,7.238138937300054
DMA,3.8402593,2.104254744797843,7.236256337300054
LTU,3.8342764,2.098271844797843,7.230273437300054
SOL,3.809782,2.0737774447978428,7.205779037300054
LBR,3.7934284,2.057423844797843,7.189425437300054
ISV,3.777214,2.041209444797843,7.173211037300054
CPV,3.7715437,2.035539144797843,7.167540737300055
TCH,3.7560987,2.020094144797843,7.152095737300054
